"","No","ExpNo","ExtractionType","FileNumber","PhotoCode","NA.","ExpCode","Host","HostVariety","Treatment","Condition","Dilution","isolateRepNumber","techRep","ExpCode.1","ExposureTreatment","sampleNumber","chl","ES8_digital_WBonly_T_tuk"
"20",20,"ES8","Digital",445,"DSC_0538.ES8_20.sample1.WB_only.clean.jpg.chl.csv","DSC_0538","ES8_20","soybean","AG4632","control","Shaking","25fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep2_IsolateRep3","WB_only","sample1",238.24,6.79133475698527
"21",21,"ES8","Digital",229,"DSC_0388.ES8_21.sample1.WB_only.clean.jpg.chl.csv","DSC_0388","ES8_21","soybean","AG4632","control","Shaking","25fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep3_IsolateRep3","WB_only","sample1",152.087,5.80406453452698
"22",22,"ES8","Digital",271,"DSC_0416.ES8_22.sample1.WB_only.clean.jpg.chl.csv","DSC_0416","ES8_22","soybean","AG4632","control","Shaking","25fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep1_IsolateRep4","WB_only","sample1",133.793,5.54947228970775
"23",23,"ES8","Digital",370,"DSC_0486.ES8_23.sample1.WB_only.clean.jpg.chl.csv","DSC_0486","ES8_23","soybean","AG4632","control","Shaking","25fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep2_IsolateRep4","WB_only","sample1",372.505,7.94138474504349
"24",24,"ES8","Digital",289,"DSC_0428.ES8_24.sample1.WB_only.clean.jpg.chl.csv","DSC_0428","ES8_24","soybean","AG4632","control","Shaking","25fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep3_IsolateRep4","WB_only","sample1",96.882,4.95661382040921
"25",25,"ES8","Digital",436,"DSC_0532.ES8_25.sample1.WB_only.clean.jpg.chl.csv","DSC_0532","ES8_25","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep1_IsolateRep1","WB_only","sample1",42.959,3.72879886005158
"26",26,"ES8","Digital",493,"DSC_0573.ES8_26.sample1.WB_only.clean.jpg.chl.csv","DSC_0573","ES8_26","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep2_IsolateRep1","WB_only","sample1",21.356,2.91965791121387
"27",27,"ES8","Digital",211,"DSC_0376.ES8_27.sample1.WB_only.clean.jpg.chl.csv","DSC_0376","ES8_27","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep3_IsolateRep1","WB_only","sample1",18.476,2.77531820029857
"28",28,"ES8","Digital",268,"DSC_0414.ES8_28.sample1.WB_only.clean.jpg.chl.csv","DSC_0414","ES8_28","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep1_IsolateRep2","WB_only","sample1",38.651,3.59340573958302
"29",29,"ES8","Digital",NA,NA,NA,"ES8_29","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep2_IsolateRep2",NA,"sample1",NA,NA
