"","No","ExpNo","ExtractionType","FileNumber","PhotoCode","NA.","ExpCode","Host","HostVariety","Treatment","Condition","Dilution","isolateRepNumber","techRep","ExpCode.1","ExposureTreatment","sampleNumber","chl","ES8_digital_WBonly_T_tuk"
"76",76,"ES8","Digital",274,"DSC_0418.ES8_76.sample1.WB_only.clean.jpg.chl.csv","DSC_0418","ES8_76","soybean","AG4632","DMCC2165","Shaking","100fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2165_Shaking_100fold_stemRep1_IsolateRep2","WB_only","sample1",24.636,3.06937229258932
"77",77,"ES8","Digital",106,"DSC_0072.ES8_77.sample1.WB_only.clean.jpg.chl.csv","DSC_0072","ES8_77","soybean","AG4632","DMCC2165","Shaking","100fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_DMCC2165_Shaking_100fold_stemRep2_IsolateRep2","WB_only","sample1",55.413,4.07628069436554
"78",78,"ES8","Digital",220,"DSC_0382.ES8_78.sample1.WB_only.clean.jpg.chl.csv","DSC_0382","ES8_78","soybean","AG4632","DMCC2165","Shaking","100fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_DMCC2165_Shaking_100fold_stemRep3_IsolateRep2","WB_only","sample1",19.391,2.82266977078499
"79",79,"ES8","Digital",322,"DSC_0452.ES8_79.sample1.WB_only.clean.jpg.chl.csv","DSC_0452","ES8_79","soybean","AG4632","DMCC2165","Shaking","100fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_DMCC2165_Shaking_100fold_stemRep1_IsolateRep3","WB_only","sample1",18.956,2.80034374701462
"80",80,"ES8","Digital",235,"DSC_0392.ES8_80.sample1.WB_only.clean.jpg.chl.csv","DSC_0392","ES8_80","soybean","AG4632","DMCC2165","Shaking","100fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_DMCC2165_Shaking_100fold_stemRep2_IsolateRep3","WB_only","sample1",20.414,2.87392108488491
"81",81,"ES8","Digital",40,"DSC_0028.ES8_81.sample1.WB_only.clean.jpg.chl.csv","DSC_0028","ES8_81","soybean","AG4632","DMCC2165","Shaking","100fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_DMCC2165_Shaking_100fold_stemRep3_IsolateRep3","WB_only","sample1",17.156,2.70424237078299
"82",82,"ES8","Digital",196,"DSC_0366.ES8_82.sample1.WB_only.clean.jpg.chl.csv","DSC_0366","ES8_82","soybean","AG4632","DMCC2165","Shaking","100fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_DMCC2165_Shaking_100fold_stemRep1_IsolateRep4","WB_only","sample1",18.104,2.75563117477247
"83",83,"ES8","Digital",103,"DSC_0070.ES8_83.sample1.WB_only.clean.jpg.chl.csv","DSC_0070","ES8_83","soybean","AG4632","DMCC2165","Shaking","100fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_DMCC2165_Shaking_100fold_stemRep2_IsolateRep4","WB_only","sample1",24.209,3.05064658336603
"84",84,"ES8","Digital",97,"DSC_0066.ES8_84.sample1.WB_only.clean.jpg.chl.csv","DSC_0066","ES8_84","soybean","AG4632","DMCC2165","Shaking","100fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_DMCC2165_Shaking_100fold_stemRep3_IsolateRep4","WB_only","sample1",31.162,3.3324900633582
"85",85,"ES8","Digital",175,"DSC_0118.ES8_85.sample1.WB_only.clean.jpg.chl.csv","DSC_0118","ES8_85","soybean","AG4632","DMCC2165","Shaking","25fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2165_Shaking_25fold_stemRep1_IsolateRep1","WB_only","sample1",29.054,3.25178689341376
"86",86,"ES8","Digital",388,"DSC_0499.ES8_86.sample1.WB_only.clean.jpg.chl.csv","DSC_0499","ES8_86","soybean","AG4632","DMCC2165","Shaking","25fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2165_Shaking_25fold_stemRep2_IsolateRep1","WB_only","sample1",27.728,3.1990534095847
"87",87,"ES8","Digital",214,"DSC_0378.ES8_87.sample1.WB_only.clean.jpg.chl.csv","DSC_0378","ES8_87","soybean","AG4632","DMCC2165","Shaking","25fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2165_Shaking_25fold_stemRep3_IsolateRep1","WB_only","sample1",38.767,3.59717666930883
"88",88,"ES8","Digital",NA,NA,NA,"ES8_88","soybean","AG4632","DMCC2165","Shaking","25fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2165_Shaking_25fold_stemRep1_IsolateRep2",NA,"sample1",NA,NA
"89",89,"ES8","Digital",364,"DSC_0482.ES8_89.sample1.WB_only.clean.jpg.chl.csv","DSC_0482","ES8_89","soybean","AG4632","DMCC2165","Shaking","25fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_DMCC2165_Shaking_25fold_stemRep2_IsolateRep2","WB_only","sample1",21.53,2.92796182756917
"90",90,"ES8","Digital",43,"DSC_0029.ES8_90.sample1.WB_only.clean.jpg.chl.csv","DSC_0029","ES8_90","soybean","AG4632","DMCC2165","Shaking","25fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_DMCC2165_Shaking_25fold_stemRep3_IsolateRep2","WB_only","sample1",48.318,3.88542144005369
"91",91,"ES8","Digital",496,"DSC_0575.ES8_91.sample1.WB_only.clean.jpg.chl.csv","DSC_0575","ES8_91","soybean","AG4632","DMCC2165","Shaking","25fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_DMCC2165_Shaking_25fold_stemRep1_IsolateRep3","WB_only","sample1",32.244,3.37254007800863
"92",92,"ES8","Digital",142,"DSC_0096.ES8_92.sample1.WB_only.clean.jpg.chl.csv","DSC_0096","ES8_92","soybean","AG4632","DMCC2165","Shaking","25fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_DMCC2165_Shaking_25fold_stemRep2_IsolateRep3","WB_only","sample1",105.932,5.11398571006701
"93",93,"ES8","Digital",391,"DSC_0501.ES8_93.sample1.WB_only.clean.jpg.chl.csv","DSC_0501","ES8_93","soybean","AG4632","DMCC2165","Shaking","25fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_DMCC2165_Shaking_25fold_stemRep3_IsolateRep3","WB_only","sample1",109.445,5.17271527539624
"94",94,"ES8","Digital",409,"DSC_0513.ES8_94.sample1.WB_only.clean.jpg.chl.csv","DSC_0513","ES8_94","soybean","AG4632","DMCC2165","Shaking","25fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_DMCC2165_Shaking_25fold_stemRep1_IsolateRep4","WB_only","sample1",32.001,3.36362244985939
"95",95,"ES8","Digital",76,"DSC_0052.ES8_95.sample1.WB_only.clean.jpg.chl.csv","DSC_0052","ES8_95","soybean","AG4632","DMCC2165","Shaking","25fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_DMCC2165_Shaking_25fold_stemRep2_IsolateRep4","WB_only","sample1",38.719,3.59561717533374
"96",96,"ES8","Digital",4,"DSC_0003.ES8_96.sample1.WB_only.clean.jpg.chl.csv","DSC_0003","ES8_96","soybean","AG4632","DMCC2165","Shaking","25fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_DMCC2165_Shaking_25fold_stemRep3_IsolateRep4","WB_only","sample1",29.293,3.2611242662403
"97",97,"ES8","Digital",136,"DSC_0092.ES8_97.sample1.WB_only.clean.jpg.chl.csv","DSC_0092","ES8_97","soybean","AG4632","control","Stationary","100fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_control_Stationary_100fold_stemRep1_IsolateRep1","WB_only","sample1",276.183,7.15185877404378
"98",98,"ES8","Digital",154,"DSC_0104.ES8_98.sample1.WB_only.clean.jpg.chl.csv","DSC_0104","ES8_98","soybean","AG4632","control","Stationary","100fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_control_Stationary_100fold_stemRep2_IsolateRep1","WB_only","sample1",294.899,7.31788625790812
"99",99,"ES8","Digital",283,"DSC_0424.ES8_99.sample1.WB_only.clean.jpg.chl.csv","DSC_0424","ES8_99","soybean","AG4632","control","Stationary","100fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_control_Stationary_100fold_stemRep3_IsolateRep1","WB_only","sample1",225.996,6.66707381319433
"100",100,"ES8","Digital",526,"DSC_0595.ES8_100.sample1.WB_only.clean.jpg.chl.csv","DSC_0595","ES8_100","soybean","AG4632","control","Stationary","100fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_control_Stationary_100fold_stemRep1_IsolateRep2","WB_only","sample1",174.345,6.08826186638887
"101",101,"ES8","Digital",385,"DSC_0497.ES8_101.sample1.WB_only.clean.jpg.chl.csv","DSC_0497","ES8_101","soybean","AG4632","control","Stationary","100fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_control_Stationary_100fold_stemRep2_IsolateRep2","WB_only","sample1",120.918,5.35638560646419
"102",102,"ES8","Digital",325,"DSC_0454.ES8_102.sample1.WB_only.clean.jpg.chl.csv","DSC_0454","ES8_102","soybean","AG4632","control","Stationary","100fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_control_Stationary_100fold_stemRep3_IsolateRep2","WB_only","sample1",101.706,5.04163384138304
"103",103,"ES8","Digital",166,"DSC_0112.ES8_103.sample1.WB_only.clean.jpg.chl.csv","DSC_0112","ES8_103","soybean","AG4632","control","Stationary","100fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_control_Stationary_100fold_stemRep1_IsolateRep3","WB_only","sample1",260.252,7.00467397769248
"104",104,"ES8","Digital",205,"DSC_0372.ES8_104.sample1.WB_only.clean.jpg.chl.csv","DSC_0372","ES8_104","soybean","AG4632","control","Stationary","100fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_control_Stationary_100fold_stemRep2_IsolateRep3","WB_only","sample1",306.455,7.41700119585394
"105",105,"ES8","Digital",247,"DSC_0400.ES8_105.sample1.WB_only.clean.jpg.chl.csv","DSC_0400","ES8_105","soybean","AG4632","control","Stationary","100fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_control_Stationary_100fold_stemRep3_IsolateRep3","WB_only","sample1",56.909,4.11446463699589
"106",106,"ES8","Digital",517,"DSC_0589.ES8_106.sample1.WB_only.clean.jpg.chl.csv","DSC_0589","ES8_106","soybean","AG4632","control","Stationary","100fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_control_Stationary_100fold_stemRep1_IsolateRep4","WB_only","sample1",65.626,4.32490504665336
"107",107,"ES8","Digital",352,"DSC_0474.ES8_107.sample1.WB_only.clean.jpg.chl.csv","DSC_0474","ES8_107","soybean","AG4632","control","Stationary","100fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_control_Stationary_100fold_stemRep2_IsolateRep4","WB_only","sample1",242.927,6.83780207095604
"108",108,"ES8","Digital",25,"DSC_0018.ES8_108.sample1.WB_only.clean.jpg.chl.csv","DSC_0018","ES8_108","soybean","AG4632","control","Stationary","100fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_control_Stationary_100fold_stemRep3_IsolateRep4","WB_only","sample1",52.43,3.99809353520907
"109",109,"ES8","Digital",187,"DSC_0126.ES8_109.sample1.WB_only.clean.jpg.chl.csv","DSC_0126","ES8_109","soybean","AG4632","control","Stationary","25fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_control_Stationary_25fold_stemRep1_IsolateRep1","WB_only","sample1",90.896,4.84719699418691
"110",110,"ES8","Digital",100,"DSC_0068.ES8_110.sample1.WB_only.clean.jpg.chl.csv","DSC_0068","ES8_110","soybean","AG4632","control","Stationary","25fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_control_Stationary_25fold_stemRep2_IsolateRep1","WB_only","sample1",248.223,6.88961108744534
"111",111,"ES8","Digital",NA,NA,NA,"ES8_111","soybean","AG4632","control","Stationary","25fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_control_Stationary_25fold_stemRep3_IsolateRep1",NA,"sample1",NA,NA
"112",112,"ES8","Digital",223,"DSC_0384.ES8_112.sample1.WB_only.clean.jpg.chl.csv","DSC_0384","ES8_112","soybean","AG4632","control","Stationary","25fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_control_Stationary_25fold_stemRep1_IsolateRep2","WB_only","sample1",170.068,6.03556472393858
"113",113,"ES8","Digital",217,"DSC_0380.ES8_113.sample1.WB_only.clean.jpg.chl.csv","DSC_0380","ES8_113","soybean","AG4632","control","Stationary","25fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_control_Stationary_25fold_stemRep2_IsolateRep2","WB_only","sample1",101.816,5.04354164146984
"114",114,"ES8","Digital",NA,NA,NA,"ES8_114","soybean","AG4632","control","Stationary","25fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_control_Stationary_25fold_stemRep3_IsolateRep2",NA,"sample1",NA,NA
"115",115,"ES8","Digital",313,"DSC_0444.ES8_115.sample1.WB_only.clean.jpg.chl.csv","DSC_0444","ES8_115","soybean","AG4632","control","Stationary","25fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_control_Stationary_25fold_stemRep1_IsolateRep3","WB_only","sample1",198.811,6.37461768738103
"116",116,"ES8","Digital",337,"DSC_0464.ES8_116.sample1.WB_only.clean.jpg.chl.csv","DSC_0464","ES8_116","soybean","AG4632","control","Stationary","25fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_control_Stationary_25fold_stemRep2_IsolateRep3","WB_only","sample1",72.528,4.47895805769514
"117",117,"ES8","Digital",295,"DSC_0432.ES8_117.sample1.WB_only.clean.jpg.chl.csv","DSC_0432","ES8_117","soybean","AG4632","control","Stationary","25fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_control_Stationary_25fold_stemRep3_IsolateRep3","WB_only","sample1",45.73,3.81127617904844
"118",118,"ES8","Digital",79,"DSC_0054.ES8_118.sample1.WB_only.clean.jpg.chl.csv","DSC_0054","ES8_118","soybean","AG4632","control","Stationary","25fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_control_Stationary_25fold_stemRep1_IsolateRep4","WB_only","sample1",191.463,6.29114508392703
"119",119,"ES8","Digital",NA,NA,NA,"ES8_119","soybean","AG4632","control","Stationary","25fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_control_Stationary_25fold_stemRep2_IsolateRep4",NA,"sample1",NA,NA
"120",120,"ES8","Digital",184,"DSC_0124.ES8_120.sample1.WB_only.clean.jpg.chl.csv","DSC_0124","ES8_120","soybean","AG4632","control","Stationary","25fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_control_Stationary_25fold_stemRep3_IsolateRep4","WB_only","sample1",214.652,6.54797825893024
"121",121,"ES8","Digital",28,"DSC_0020.ES8_121.sample1.WB_only.clean.jpg.chl.csv","DSC_0020","ES8_121","soybean","AG4632","DMCC2126","Stationary","100fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2126_Stationary_100fold_stemRep1_IsolateRep1","WB_only","sample1",22.996,2.99625177962294
"122",122,"ES8","Digital",61,"DSC_0042.ES8_122.sample1.WB_only.clean.jpg.chl.csv","DSC_0042","ES8_122","soybean","AG4632","DMCC2126","Stationary","100fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2126_Stationary_100fold_stemRep2_IsolateRep1","WB_only","sample1",26.06,3.13033663564729
"123",123,"ES8","Digital",373,"DSC_0489.ES8_123.sample1.WB_only.clean.jpg.chl.csv","DSC_0489","ES8_123","soybean","AG4632","DMCC2126","Stationary","100fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2126_Stationary_100fold_stemRep3_IsolateRep1","WB_only","sample1",288.538,7.26224767163846
"124",124,"ES8","Digital",427,"DSC_0526.ES8_124.sample1.WB_only.clean.jpg.chl.csv","DSC_0526","ES8_124","soybean","AG4632","DMCC2126","Stationary","100fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2126_Stationary_100fold_stemRep1_IsolateRep2","WB_only","sample1",38.35,3.58358639307282
"125",125,"ES8","Digital",115,"DSC_0078.ES8_125.sample1.WB_only.clean.jpg.chl.csv","DSC_0078","ES8_125","soybean","AG4632","DMCC2126","Stationary","100fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_DMCC2126_Stationary_100fold_stemRep2_IsolateRep2","WB_only","sample1",19.222,2.81403503746772
"126",126,"ES8","Digital",421,"DSC_0523.ES8_126.sample1.WB_only.clean.jpg.chl.csv","DSC_0523","ES8_126","soybean","AG4632","DMCC2126","Stationary","100fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_DMCC2126_Stationary_100fold_stemRep3_IsolateRep2","WB_only","sample1",0,0
"127",127,"ES8","Digital",193,"DSC_0364.ES8_127.sample1.WB_only.clean.jpg.chl.csv","DSC_0364","ES8_127","soybean","AG4632","DMCC2126","Stationary","100fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_DMCC2126_Stationary_100fold_stemRep1_IsolateRep3","WB_only","sample1",229.343,6.70146758426935
"128",128,"ES8","Digital",412,"DSC_0515.ES8_128.sample1.WB_only.clean.jpg.chl.csv","DSC_0515","ES8_128","soybean","AG4632","DMCC2126","Stationary","100fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_DMCC2126_Stationary_100fold_stemRep2_IsolateRep3","WB_only","sample1",26.623,3.15384210778035
"129",129,"ES8","Digital",538,"DSC_0603.ES8_129.sample1.WB_only.clean.jpg.chl.csv","DSC_0603","ES8_129","soybean","AG4632","DMCC2126","Stationary","100fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_DMCC2126_Stationary_100fold_stemRep3_IsolateRep3","WB_only","sample1",119.079,5.32773129016547
"130",130,"ES8","Digital",277,"DSC_0420.ES8_130.sample1.WB_only.clean.jpg.chl.csv","DSC_0420","ES8_130","soybean","AG4632","DMCC2126","Stationary","100fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_DMCC2126_Stationary_100fold_stemRep1_IsolateRep4","WB_only","sample1",310.838,7.45395792670619
"131",131,"ES8","Digital",238,"DSC_0394.ES8_131.sample1.WB_only.clean.jpg.chl.csv","DSC_0394","ES8_131","soybean","AG4632","DMCC2126","Stationary","100fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_DMCC2126_Stationary_100fold_stemRep2_IsolateRep4","WB_only","sample1",232.084,6.72939188871608
"132",132,"ES8","Digital",523,"DSC_0593.ES8_132.sample1.WB_only.clean.jpg.chl.csv","DSC_0593","ES8_132","soybean","AG4632","DMCC2126","Stationary","100fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_DMCC2126_Stationary_100fold_stemRep3_IsolateRep4","WB_only","sample1",228.792,6.69582804667546
"133",133,"ES8","Digital",34,"DSC_0024.ES8_133.sample1.WB_only.clean.jpg.chl.csv","DSC_0024","ES8_133","soybean","AG4632","DMCC2126","Stationary","25fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2126_Stationary_25fold_stemRep1_IsolateRep1","WB_only","sample1",30.209,3.29645933152432
"134",134,"ES8","Digital",499,"DSC_0577.ES8_134.sample1.WB_only.clean.jpg.chl.csv","DSC_0577","ES8_134","soybean","AG4632","DMCC2126","Stationary","25fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2126_Stationary_25fold_stemRep2_IsolateRep1","WB_only","sample1",47.7,3.86795517660684
"135",135,"ES8","Digital",508,"DSC_0583.ES8_135.sample1.WB_only.clean.jpg.chl.csv","DSC_0583","ES8_135","soybean","AG4632","DMCC2126","Stationary","25fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2126_Stationary_25fold_stemRep3_IsolateRep1","WB_only","sample1",54.83,4.06121878248691
"136",136,"ES8","Digital",424,"DSC_0524.ES8_136.sample1.WB_only.clean.jpg.chl.csv","DSC_0524","ES8_136","soybean","AG4632","DMCC2126","Stationary","25fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2126_Stationary_25fold_stemRep1_IsolateRep2","WB_only","sample1",41.061,3.67028959643632
"137",137,"ES8","Digital",475,"DSC_0558.ES8_137.sample1.WB_only.clean.jpg.chl.csv","DSC_0558","ES8_137","soybean","AG4632","DMCC2126","Stationary","25fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_DMCC2126_Stationary_25fold_stemRep2_IsolateRep2","WB_only","sample1",132.984,5.53770462387665
"138",138,"ES8","Digital",511,"DSC_0585.ES8_138.sample1.WB_only.clean.jpg.chl.csv","DSC_0585","ES8_138","soybean","AG4632","DMCC2126","Stationary","25fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_DMCC2126_Stationary_25fold_stemRep3_IsolateRep2","WB_only","sample1",63.683,4.2796497744358
"139",139,"ES8","Digital",244,"DSC_0398.ES8_139.sample1.WB_only.clean.jpg.chl.csv","DSC_0398","ES8_139","soybean","AG4632","DMCC2126","Stationary","25fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_DMCC2126_Stationary_25fold_stemRep1_IsolateRep3","WB_only","sample1",31.44,3.34286538414008
"140",140,"ES8","Digital",22,"DSC_0016.ES8_140.sample1.WB_only.clean.jpg.chl.csv","DSC_0016","ES8_140","soybean","AG4632","DMCC2126","Stationary","25fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_DMCC2126_Stationary_25fold_stemRep2_IsolateRep3","WB_only","sample1",119.291,5.33104916444794
"141",141,"ES8","Digital",394,"DSC_0503.ES8_141.sample1.WB_only.clean.jpg.chl.csv","DSC_0503","ES8_141","soybean","AG4632","DMCC2126","Stationary","25fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_DMCC2126_Stationary_25fold_stemRep3_IsolateRep3","WB_only","sample1",65.436,4.32051841274371
"142",142,"ES8","Digital",469,"DSC_0554.ES8_142.sample1.WB_only.clean.jpg.chl.csv","DSC_0554","ES8_142","soybean","AG4632","DMCC2126","Stationary","25fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_DMCC2126_Stationary_25fold_stemRep1_IsolateRep4","WB_only","sample1",251.392,6.92026951308082
"143",143,"ES8","Digital",118,"DSC_0080.ES8_143.sample1.WB_only.clean.jpg.chl.csv","DSC_0080","ES8_143","soybean","AG4632","DMCC2126","Stationary","25fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_DMCC2126_Stationary_25fold_stemRep2_IsolateRep4","WB_only","sample1",105.697,5.11001213307191
"144",144,"ES8","Digital",37,"DSC_0026.ES8_144.sample1.WB_only.clean.jpg.chl.csv","DSC_0026","ES8_144","soybean","AG4632","DMCC2126","Stationary","25fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_DMCC2126_Stationary_25fold_stemRep3_IsolateRep4","WB_only","sample1",91.586,4.86004378703551
"145",145,"ES8","Digital",73,"DSC_0049.ES8_145.sample1.WB_only.clean.jpg.chl.csv","DSC_0049","ES8_145","soybean","AG4632","DMCC2127","Stationary","100fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2127_Stationary_100fold_stemRep1_IsolateRep1","WB_only","sample1",40.404,3.64962738648379
"146",146,"ES8","Digital",307,"DSC_0440.ES8_146.sample1.WB_only.clean.jpg.chl.csv","DSC_0440","ES8_146","soybean","AG4632","DMCC2127","Stationary","100fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2127_Stationary_100fold_stemRep2_IsolateRep1","WB_only","sample1",109.178,5.16829502759791
"147",147,"ES8","Digital",343,"DSC_0468.ES8_147.sample1.WB_only.clean.jpg.chl.csv","DSC_0468","ES8_147","soybean","AG4632","DMCC2127","Stationary","100fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2127_Stationary_100fold_stemRep3_IsolateRep1","WB_only","sample1",68.612,4.39278580824406
"148",148,"ES8","Digital",NA,NA,NA,"ES8_148","soybean","AG4632","DMCC2127","Stationary","100fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2127_Stationary_100fold_stemRep1_IsolateRep2",NA,"sample1",NA,NA
"149",149,"ES8","Digital",178,"DSC_0120.ES8_149.sample1.WB_only.clean.jpg.chl.csv","DSC_0120","ES8_149","soybean","AG4632","DMCC2127","Stationary","100fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_DMCC2127_Stationary_100fold_stemRep2_IsolateRep2","WB_only","sample1",33.514,3.41844969140226
"150",150,"ES8","Digital",259,"DSC_0408.ES8_150.sample1.WB_only.clean.jpg.chl.csv","DSC_0408","ES8_150","soybean","AG4632","DMCC2127","Stationary","100fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_DMCC2127_Stationary_100fold_stemRep3_IsolateRep2","WB_only","sample1",51.615,3.97623071797757
"151",151,"ES8","Digital",NA,NA,NA,"ES8_151","soybean","AG4632","DMCC2127","Stationary","100fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_DMCC2127_Stationary_100fold_stemRep1_IsolateRep3",NA,"sample1",NA,NA
"152",152,"ES8","Digital",190,"DSC_0362.ES8_152.sample1.WB_only.clean.jpg.chl.csv","DSC_0362","ES8_152","soybean","AG4632","DMCC2127","Stationary","100fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_DMCC2127_Stationary_100fold_stemRep2_IsolateRep3","WB_only","sample1",24.192,3.04989663535956
"153",153,"ES8","Digital",52,"DSC_0036.ES8_153.sample1.WB_only.clean.jpg.chl.csv","DSC_0036","ES8_153","soybean","AG4632","DMCC2127","Stationary","100fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_DMCC2127_Stationary_100fold_stemRep3_IsolateRep3","WB_only","sample1",24.838,3.07815736082367
"154",154,"ES8","Digital",484,"DSC_0564.ES8_154.sample1.WB_only.clean.jpg.chl.csv","DSC_0564","ES8_154","soybean","AG4632","DMCC2127","Stationary","100fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_DMCC2127_Stationary_100fold_stemRep1_IsolateRep4","WB_only","sample1",41.902,3.69642725158135
"155",155,"ES8","Digital",379,"DSC_0493.ES8_155.sample1.WB_only.clean.jpg.chl.csv","DSC_0493","ES8_155","soybean","AG4632","DMCC2127","Stationary","100fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_DMCC2127_Stationary_100fold_stemRep2_IsolateRep4","WB_only","sample1",33.104,3.40375400739137
"156",156,"ES8","Digital",457,"DSC_0546.ES8_156.sample1.WB_only.clean.jpg.chl.csv","DSC_0546","ES8_156","soybean","AG4632","DMCC2127","Stationary","100fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_DMCC2127_Stationary_100fold_stemRep3_IsolateRep4","WB_only","sample1",29.981,3.28772996599549
"157",157,"ES8","Digital",NA,NA,NA,"ES8_157","soybean","AG4632","DMCC2127","Stationary","25fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2127_Stationary_25fold_stemRep1_IsolateRep1",NA,"sample1",NA,NA
"158",158,"ES8","Digital",262,"DSC_0410.ES8_158.sample1.WB_only.clean.jpg.chl.csv","DSC_0410","ES8_158","soybean","AG4632","DMCC2127","Stationary","25fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2127_Stationary_25fold_stemRep2_IsolateRep1","WB_only","sample1",39.735,3.62836213504462
"159",159,"ES8","Digital",301,"DSC_0436.ES8_159.sample1.WB_only.clean.jpg.chl.csv","DSC_0436","ES8_159","soybean","AG4632","DMCC2127","Stationary","25fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2127_Stationary_25fold_stemRep3_IsolateRep1","WB_only","sample1",123.062,5.38943687022268
"160",160,"ES8","Digital",13,"DSC_0009.ES8_160.sample1.WB_only.clean.jpg.chl.csv","DSC_0009","ES8_160","soybean","AG4632","DMCC2127","Stationary","25fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2127_Stationary_25fold_stemRep1_IsolateRep2","WB_only","sample1",35.957,3.50367817223608
