No,FileNo,FileCode,PhotoCode,ExpCode,sampleNumber,Exposure,ExpNo,Treatment,Host,HostCultivar,Dilution,isoRepNumber,techRepNumber,TreatmentCode,FinalpH,X1,Row,Column,chl
21,136,DSC_0584.ES14B_21.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0584,ES14B_21,sample1,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep1,techRep3,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep1_techRep3,5.67,1,1,1,193.984
22,199,DSC_0626.ES14B_22.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0626,ES14B_22,sample1,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep2,techRep1,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep2_techRep1,6.18,1,1,1,224.2
23,121,DSC_0573.ES14B_23.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0573,ES14B_23,sample1,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep2,techRep2,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep2_techRep2,5.4,1,1,1,230.753
24,202,DSC_0627.ES14B_24.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0627,ES14B_24,sample1,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep2,techRep3,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep2_techRep3,5.87,1,1,1,214.413
25,157,DSC_0598.ES14B_25.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0598,ES14B_25,sample1,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep3,techRep1,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep3_techRep1,6.47,1,1,1,209.823
26,133,DSC_0582.ES14B_26.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0582,ES14B_26,sample1,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep3,techRep2,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep3_techRep2,5.68,1,1,1,226.718
27,190,DSC_0620.ES14B_27.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0620,ES14B_27,sample1,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep3,techRep3,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep3_techRep3,6.16,1,1,1,187.112
28,184,DSC_0615.ES14B_28.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0615,ES14B_28,sample1,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep1,techRep1,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep1_techRep1,6.01,1,1,1,172.606
29,73,DSC_0541.ES14B_29.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0541,ES14B_29,sample1,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep1,techRep2,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep1_techRep2,6.07,1,1,1,203.116
30,109,DSC_0566.ES14B_30.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0566,ES14B_30,sample1,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep1,techRep3,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep1_techRep3,5.03,1,1,1,229.91
31,82,DSC_0547.ES14B_31.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0547,ES14B_31,sample1,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep2,techRep1,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep2_techRep1,5.73,1,1,1,242.099
32,40,DSC_0519.ES14B_32.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0519,ES14B_32,sample1,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep2,techRep2,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep2_techRep2,5.74,1,1,1,189.059
33,115,DSC_0569.ES14B_33.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0569,ES14B_33,sample1,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep2,techRep3,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep2_techRep3,5.89,1,1,1,205.655
34,22,DSC_0507.ES14B_34.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0507,ES14B_34,sample1,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep3,techRep1,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep3_techRep1,5.83,1,1,1,167.015
35,25,DSC_0509.ES14B_35.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0509,ES14B_35,sample1,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep3,techRep2,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep3_techRep2,4.98,1,1,1,209.397
36,130,DSC_0580.ES14B_36.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0580,ES14B_36,sample1,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep3,techRep3,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep3_techRep3,6.18,1,1,1,199.504
37,46,DSC_0523.ES14B_37.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0523,ES14B_37,sample1,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep1,techRep1,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep1_techRep1,6.76,1,1,1,72.817
38,112,DSC_0568.ES14B_38.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0568,ES14B_38,sample1,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep1,techRep2,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep1_techRep2,6.8,1,1,1,83.09
39,205,DSC_0630.ES14B_39.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0630,ES14B_39,sample1,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep1,techRep3,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep1_techRep3,5.13,1,1,1,45.683
40,208,DSC_0632.ES14B_40.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0632,ES14B_40,sample1,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep2,techRep1,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep2_techRep1,6.63,1,1,1,40.809
41,13,DSC_0502.ES14B_41.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0502,ES14B_41,sample1,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep2,techRep2,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep2_techRep2,6.59,1,1,1,40.87
42,145,DSC_0589.ES14B_42.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0589,ES14B_42,sample1,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep2,techRep3,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep2_techRep3,7.15,1,1,1,48.15
43,79,DSC_0545.ES14B_43.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0545,ES14B_43,sample1,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep3,techRep1,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep3_techRep1,7.63,1,1,1,37.237
44,94,DSC_0555.ES14B_44.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0555,ES14B_44,sample1,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep3,techRep2,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep3_techRep2,5.37,1,1,1,46.146
45,31,DSC_0513.ES14B_45.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0513,ES14B_45,sample1,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep3,techRep3,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep3_techRep3,7.18,1,1,1,95.775
46,7,DSC_0498.ES14B_46.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0498,ES14B_46,sample1,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep1,techRep1,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep1_techRep1,6.93,1,1,1,196.423
47,4,DSC_0496.ES14B_47.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0496,ES14B_47,sample1,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep1,techRep2,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep1_techRep2,6.48,1,1,1,212.441
48,127,DSC_0578.ES14B_48.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0578,ES14B_48,sample1,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep1,techRep3,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep1_techRep3,7.03,1,1,1,224.553
49,55,DSC_0529.ES14B_49.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0529,ES14B_49,sample1,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep2,techRep1,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep2_techRep1,6.78,1,1,1,202.26
50,118,DSC_0571.ES14B_50.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0571,ES14B_50,sample1,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep2,techRep2,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep2_techRep2,6.88,1,1,1,208.731
