No,FileCode,PhotoCode,ExpCode,sampleNumber,ExpNo,Treatment,HostVariety,Dilution,isoRepNumber,techRepNumber,TreatmentCode,FinalpH,X1,Row,Column,chl
23,DSC_0537.ES13A_23.sample1.clean.jpg.chl.csv,DSC_0537,ES13A_23,sample1,ES13A,Control,P5414LLS,100fold,isoRep2,techRep2,ES13A_Control_P5414LLS_100fold_isoRep2_techRep2,7.61,1,1,1,149.951
24,DSC_0569.ES13A_24.sample1.clean.jpg.chl.csv,DSC_0569,ES13A_24,sample1,ES13A,Control,P5414LLS,100fold,isoRep2,techRep3,ES13A_Control_P5414LLS_100fold_isoRep2_techRep3,7.65,1,1,1,244.803
25,DSC_0634.ES13A_25.sample1.clean.jpg.chl.csv,DSC_0634,ES13A_25,sample1,ES13A,Control,P5414LLS,100fold,isoRep3,techRep1,ES13A_Control_P5414LLS_100fold_isoRep3_techRep1,7.65,1,1,1,171.806
26,DSC_0636.ES13A_26.sample1.clean.jpg.chl.csv,DSC_0636,ES13A_26,sample1,ES13A,Control,P5414LLS,100fold,isoRep3,techRep2,ES13A_Control_P5414LLS_100fold_isoRep3_techRep2,7.69,1,1,1,210.088
27,DSC_0591.ES13A_27.sample1.clean.jpg.chl.csv,DSC_0591,ES13A_27,sample1,ES13A,Control,P5414LLS,100fold,isoRep3,techRep3,ES13A_Control_P5414LLS_100fold_isoRep3_techRep3,7.52,1,1,1,216.272
28,DSC_0657.ES13A_28.sample1.clean.jpg.chl.csv,DSC_0657,ES13A_28,sample1,ES13A,Control,DG47E80,100fold,isoRep1,techRep1,ES13A_Control_DG47E80_100fold_isoRep1_techRep1,7.49,1,1,1,151.443
29,DSC_0575.ES13A_29.sample1.clean.jpg.chl.csv,DSC_0575,ES13A_29,sample1,ES13A,Control,DG47E80,100fold,isoRep1,techRep2,ES13A_Control_DG47E80_100fold_isoRep1_techRep2,7.62,1,1,1,182.896
30,DSC_0511.ES13A_30.sample1.clean.jpg.chl.csv,DSC_0511,ES13A_30,sample1,ES13A,Control,DG47E80,100fold,isoRep1,techRep3,ES13A_Control_DG47E80_100fold_isoRep1_techRep3,7.59,1,1,1,193.6
31,DSC_0509.ES13A_31.sample1.clean.jpg.chl.csv,DSC_0509,ES13A_31,sample1,ES13A,Control,DG47E80,100fold,isoRep2,techRep1,ES13A_Control_DG47E80_100fold_isoRep2_techRep1,7.54,1,1,1,148.043
32,DSC_0513.ES13A_32.sample1.clean.jpg.chl.csv,DSC_0513,ES13A_32,sample1,ES13A,Control,DG47E80,100fold,isoRep2,techRep2,ES13A_Control_DG47E80_100fold_isoRep2_techRep2,7.57,1,1,1,112.264
33,DSC_0616.ES13A_33.sample1.clean.jpg.chl.csv,DSC_0616,ES13A_33,sample1,ES13A,Control,DG47E80,100fold,isoRep2,techRep3,ES13A_Control_DG47E80_100fold_isoRep2_techRep3,7.61,1,1,1,180.578
34,DSC_0618.ES13A_34.sample1.clean.jpg.chl.csv,DSC_0618,ES13A_34,sample1,ES13A,Control,DG47E80,100fold,isoRep3,techRep1,ES13A_Control_DG47E80_100fold_isoRep3_techRep1,7.55,1,1,1,213.222
35,DSC_0648.ES13A_35.sample1.clean.jpg.chl.csv,DSC_0648,ES13A_35,sample1,ES13A,Control,DG47E80,100fold,isoRep3,techRep2,ES13A_Control_DG47E80_100fold_isoRep3_techRep2,7.64,1,1,1,187.193
36,DSC_0646.ES13A_36.sample1.clean.jpg.chl.csv,DSC_0646,ES13A_36,sample1,ES13A,Control,DG47E80,100fold,isoRep3,techRep3,ES13A_Control_DG47E80_100fold_isoRep3_techRep3,7.55,1,1,1,197.107
37,DSC_0535.ES13A_37.sample1.clean.jpg.chl.csv,DSC_0535,ES13A_37,sample1,ES13A,Control,DG47X95,100fold,isoRep1,techRep1,ES13A_Control_DG47X95_100fold_isoRep1_techRep1,7.69,1,1,1,220.936
38,DSC_0549.ES13A_38.sample1.clean.jpg.chl.csv,DSC_0549,ES13A_38,sample1,ES13A,Control,DG47X95,100fold,isoRep1,techRep2,ES13A_Control_DG47X95_100fold_isoRep1_techRep2,7.65,1,1,1,186.618
39,DSC_0669.ES13A_39.sample1.clean.jpg.chl.csv,DSC_0669,ES13A_39,sample1,ES13A,Control,DG47X95,100fold,isoRep1,techRep3,ES13A_Control_DG47X95_100fold_isoRep1_techRep3,7.54,1,1,1,218.33
